Registro;lon ;lat;noise
1; 4,633601   ;-74,081609   ;72
2; 4,633655   ;-74,081548   ;78
3; 4,633791   ;-74,081264   ;70
4; 4,633944   ;-74,080971   ;76
5; 4,634123   ;-74,080641   ;76
6; 4,634416   ;-74,080461   ;76
7; 4,634789   ;-74,080335   ;73
8; 4,635166   ;-74,080217   ;72
9; 4,635361   ;-74,080194   ;80
10; 4,635830   ;-74,080181   ;77
11; 4,636300   ;-74,080218   ;76
12; 4,636868   ;-74,080318   ;80
13; 4,637325   ;-74,080454   ;76
14; 4,637671   ;-74,080627   ;71
15; 4,637965   ;-74,080770   ;74
16; 4,638299   ;-74,080980   ;62
17; 4,638632   ;-74,081253   ;62
18; 4,638941   ;-74,081513   ;70
19; 4,639275   ;-74,081836   ;67
20; 4,639510   ;-74,082133   ;62
21; 4,639818   ;-74,081947   ;55
22; 4,640029   ;-74,081575   ;54
23; 4,640140   ;-74,080993   ;58
24; 4,640264   ;-74,080633   ;60
25; 4,640017   ;-74,082195   ;64
26; 4,640165   ;-74,082604   ;67
27; 4,640524   ;-74,082691   ;66
28; 4,640933   ;-74,082598   ;55
29; 4,640366   ;-74,082051   ;55
30; 4,640794   ;-74,081986   ;52
31; 4,641040   ;-74,081740   ;57
32; 4,641478   ;-74,081632   ;62
33; 4,641660   ;-74,082405   ;69
34; 4,642067   ;-74,082673   ;63
35; 4,642377   ;-74,083027   ;65
36; 4,643339   ;-74,083446   ;40
37; 4,642516   ;-74,082480   ;44
38; 4,642418   ;-74,081921   ;44
39; 4,642026   ;-74,081888   ;74
40; 4,641610   ;-74,082050   ;75
41; 4,639919   ;-74,082888   ;80
42; 4,639866   ;-74,083398   ;62
43; 4,640025   ;-74,083848   ;69
44; 4,640404   ;-74,083858   ;60
45; 4,639919   ;-74,084139   ;68
46; 4,639625   ;-74,084643   ;66
47; 4,639347   ;-74,085174   ;70
48; 4,639111   ;-74,085671   ;65
49; 4,638832   ;-74,086104   ;80
50; 4,638564   ;-74,086161   ;81
51; 4,638104   ;-74,086322   ;87
52; 4,638232   ;-74,086751   ;86
53; 4,638360   ;-74,087234   ;80
54; 4,638510   ;-74,087749   ;80
55; 4,638681   ;-74,088275   ;89
56; 4,639045   ;-74,088618   ;70
57; 4,639441   ;-74,088929   ;67
58; 4,638553   ;-74,088811   ;66
59; 4,638211   ;-74,089144   ;68
60; 4,637815   ;-74,089476   ;69
61; 4,637430   ;-74,089830   ;66
62; 4,636830   ;-74,091061   ;52
63; 4,636692   ;-74,090528   ;55
64; 4,636821   ;-74,091354   ;89
65; 4,637747   ;-74,086404   ;72
